Date,Open,High,Low,Close,Volume
20250428,898.00,898.00,893.00,897.00,25396
20250425,900.00,901.00,886.00,888.00,39651
20250424,886.00,886.00,859.00,864.00,34499
20250423,853.00,873.00,848.00,873.00,40685
20250422,826.00,829.00,816.00,816.00,32057
20250421,844.00,847.00,832.00,835.00,20672
20250418,853.00,858.00,850.00,850.00,23249
20250417,849.00,856.00,842.00,847.00,36449
20250416,867.00,869.00,852.00,855.00,47199
20250415,874.00,879.00,865.00,877.00,35642
20250414,895.00,903.00,865.00,865.00,72625
20250411,848.00,889.00,836.00,889.00,81264
20250410,863.00,863.00,863.00,863.00,28397
20250409,809.00,826.00,780.00,785.00,122044
20250408,797.00,843.00,797.00,816.00,136580
20250407,848.00,848.00,848.00,848.00,37652
20250402,949.00,952.00,938.00,942.00,28201
20250401,929.00,946.00,925.00,944.00,33673
20250331,920.00,924.00,910.00,910.00,59733
20250328,946.00,955.00,946.00,952.00,37802
20250327,961.00,964.00,958.00,958.00,44589
20250326,995.00,995.00,980.00,980.00,25939
20250325,989.00,995.00,985.00,990.00,28306
20250324,986.00,987.00,972.00,972.00,16866
20250321,985.00,987.00,970.00,972.00,46869
20250320,978.00,985.00,971.00,985.00,31993
20250319,965.00,967.00,950.00,952.00,43493
20250318,976.00,978.00,968.00,971.00,25716
20250317,977.00,985.00,968.00,970.00,35012
20250314,965.00,969.00,955.00,959.00,42394
20250313,1000.00,1005.00,965.00,965.00,42915
20250312,980.00,995.00,976.00,988.00,38527
20250311,969.00,979.00,963.00,971.00,58764
20250310,1005.00,1005.00,992.00,998.00,55410
20250307,1005.00,1010.00,1000.00,1005.00,50358
20250306,1020.00,1025.00,1005.00,1005.00,49318
20250305,1020.00,1030.00,1015.00,1020.00,45086
20250304,996.00,1010.00,996.00,1000.00,70879
20250303,1000.00,1020.00,1000.00,1020.00,73279
20250227,1065.00,1065.00,1040.00,1040.00,61646
20250226,1045.00,1060.00,1045.00,1060.00,42921
20250225,1055.00,1060.00,1050.00,1055.00,53174
20250224,1080.00,1085.00,1075.00,1075.00,33837
20250221,1085.00,1095.00,1080.00,1095.00,31480
20250220,1080.00,1085.00,1070.00,1080.00,31108
20250219,1090.00,1095.00,1085.00,1090.00,28756
20250218,1085.00,1100.00,1080.00,1100.00,24018
20250217,1065.00,1085.00,1065.00,1085.00,37215
20250214,1065.00,1070.00,1060.00,1060.00,73417
20250213,1090.00,1095.00,1080.00,1090.00,35681
20250212,1110.00,1115.00,1100.00,1100.00,26190
20250211,1110.00,1115.00,1100.00,1110.00,21023
20250210,1125.00,1125.00,1095.00,1105.00,31037
20250207,1110.00,1125.00,1105.00,1125.00,31107
20250206,1120.00,1120.00,1105.00,1115.00,33768
20250205,1110.00,1120.00,1105.00,1110.00,43082
20250204,1085.00,1100.00,1080.00,1095.00,57904
20250203,1065.00,1075.00,1060.00,1070.00,113031
20250122,1140.00,1150.00,1135.00,1135.00,45996
20250121,1115.00,1125.00,1110.00,1120.00,24368
20250120,1125.00,1135.00,1120.00,1120.00,32062
20250117,1125.00,1125.00,1095.00,1120.00,60857
20250116,1095.00,1115.00,1090.00,1105.00,49872
20250115,1085.00,1085.00,1065.00,1065.00,37966
20250114,1085.00,1090.00,1075.00,1090.00,31280
20250113,1110.00,1115.00,1070.00,1075.00,62629
20250110,1100.00,1110.00,1100.00,1100.00,24475
20250109,1100.00,1115.00,1100.00,1100.00,29916
20250108,1110.00,1130.00,1105.00,1105.00,49181
20250107,1150.00,1160.00,1130.00,1130.00,54691
20250106,1100.00,1125.00,1095.00,1125.00,77874
20250103,1080.00,1085.00,1075.00,1075.00,31244
20250102,1070.00,1075.00,1055.00,1065.00,45045
20241231,1080.00,1085.00,1075.00,1075.00,29239
20241230,1090.00,1095.00,1085.00,1090.00,27437
20241227,1080.00,1095.00,1080.00,1090.00,26151
20241226,1085.00,1090.00,1085.00,1085.00,15017
20241225,1090.00,1090.00,1080.00,1085.00,16186
20241224,1095.00,1095.00,1080.00,1080.00,30069
20241223,1065.00,1080.00,1060.00,1080.00,32800
20241220,1060.00,1060.00,1035.00,1035.00,56392
20241219,1065.00,1070.00,1055.00,1070.00,46126
20241218,1075.00,1090.00,1070.00,1085.00,47331
20241217,1090.00,1095.00,1075.00,1075.00,40033
20241216,1085.00,1085.00,1075.00,1085.00,43679
20241213,1060.00,1070.00,1055.00,1065.00,24329
20241212,1060.00,1065.00,1055.00,1060.00,26574
20241211,1045.00,1060.00,1045.00,1045.00,26948
20241210,1070.00,1075.00,1060.00,1065.00,32359
20241209,1070.00,1075.00,1065.00,1075.00,30255
20241206,1075.00,1080.00,1060.00,1065.00,32090
20241205,1070.00,1080.00,1070.00,1075.00,41293
20241204,1065.00,1070.00,1055.00,1070.00,35431
20241203,1060.00,1065.00,1055.00,1055.00,48632
20241202,1020.00,1040.00,1015.00,1035.00,33333
20241129,995.00,1010.00,994.00,996.00,43621
20241128,1005.00,1005.00,992.00,1005.00,37166
20241127,1010.00,1020.00,1000.00,1000.00,34602
20241126,1015.00,1020.00,1010.00,1010.00,31309
20241125,1045.00,1050.00,1030.00,1030.00,54443
20241122,1035.00,1050.00,1035.00,1040.00,32509
20241121,1020.00,1025.00,1010.00,1010.00,44679
20241120,1045.00,1050.00,1020.00,1025.00,40203
20241119,1030.00,1045.00,1025.00,1040.00,25497
20241118,1030.00,1035.00,1020.00,1025.00,33583
20241115,1040.00,1045.00,1030.00,1035.00,37405
20241114,1030.00,1040.00,1025.00,1035.00,49328
20241113,1045.00,1050.00,1035.00,1035.00,46420
20241112,1060.00,1065.00,1050.00,1050.00,54098
20241111,1080.00,1090.00,1070.00,1085.00,36630
20241108,1085.00,1090.00,1080.00,1090.00,38840
20241107,1050.00,1075.00,1050.00,1065.00,46030
20241106,1050.00,1080.00,1040.00,1060.00,59404
20241105,1030.00,1055.00,1030.00,1050.00,33407
20241104,1030.00,1045.00,1025.00,1040.00,28225
20241101,996.00,1030.00,996.00,1025.00,61545
20241030,1040.00,1055.00,1030.00,1030.00,40765
20241029,1035.00,1040.00,1020.00,1040.00,48097
20241028,1075.00,1080.00,1050.00,1050.00,41665
20241025,1065.00,1070.00,1060.00,1065.00,23347
20241024,1070.00,1075.00,1055.00,1060.00,40791
20241023,1060.00,1070.00,1055.00,1060.00,32895
20241022,1065.00,1075.00,1060.00,1075.00,43740
20241021,1090.00,1095.00,1080.00,1085.00,42094
20241018,1095.00,1100.00,1075.00,1085.00,91036
20241017,1050.00,1055.00,1030.00,1035.00,56618
20241016,1040.00,1070.00,1035.00,1045.00,60312
20241015,1050.00,1075.00,1050.00,1070.00,52066
20241014,1045.00,1055.00,1035.00,1045.00,39906
20241011,1025.00,1050.00,1020.00,1045.00,47776
20241009,1030.00,1035.00,1020.00,1020.00,53208
20241008,1000.00,1010.00,997.00,1010.00,35344
20241007,993.00,1010.00,989.00,1005.00,43850
20241004,986.00,986.00,967.00,977.00,43765
20241001,967.00,977.00,967.00,972.00,27877
20240930,978.00,990.00,957.00,957.00,66874
20240927,1020.00,1025.00,1000.00,1000.00,37665
20240926,1010.00,1015.00,1005.00,1015.00,43341
20240925,1000.00,1005.00,998.00,1005.00,43039
20240924,976.00,987.00,971.00,987.00,29324
20240923,971.00,977.00,971.00,977.00,15399
20240920,981.00,982.00,971.00,973.00,66762
20240919,940.00,960.00,936.00,960.00,35254
20240918,945.00,948.00,933.00,941.00,30094
20240916,952.00,952.00,943.00,947.00,14456
20240913,955.00,955.00,939.00,947.00,28307
20240912,936.00,944.00,928.00,940.00,43749
20240911,906.00,906.00,900.00,901.00,19513
20240910,907.00,911.00,901.00,904.00,34312
20240909,892.00,900.00,891.00,899.00,38448
20240906,909.00,918.00,903.00,918.00,28248
20240905,907.00,915.00,900.00,902.00,34147
20240904,894.00,905.00,888.00,889.00,93169
20240903,948.00,952.00,939.00,940.00,23205
20240902,950.00,955.00,943.00,948.00,19272
20240830,944.00,952.00,941.00,944.00,75533
20240829,942.00,947.00,937.00,943.00,46275
20240828,945.00,964.00,943.00,964.00,33519
20240827,945.00,946.00,940.00,942.00,19969
20240826,957.00,961.00,945.00,950.00,26518
